"Date","Win7","WinXP","Win10","WinVista","Win8.1","Win8","Win11","Win2003","Win2000","Win98","Win8.1 RT","WinME","Other"
2019-01,35.05,2.18,53.18,0.58,6.67,2.27,0,0.04,0.01,0.01,0,0,0
2019-02,33.89,1.97,54.78,0.56,6.55,2.17,0,0.04,0.01,0.01,0,0,0
2019-03,33.41,1.74,55.77,0.55,6.27,2.2,0,0.04,0.01,0.01,0,0,0
2019-04,33.78,1.67,55.9,0.51,6.02,2.06,0,0.04,0.01,0.01,0,0,0
2019-05,33.3,1.78,56.77,0.54,5.77,1.77,0,0.04,0.01,0.01,0,0,0
2019-06,31.96,1.71,58.21,0.58,5.75,1.74,0,0.04,0,0.01,0,0,0
2019-07,31.22,1.65,58.63,0.59,5.59,2.25,0,0.05,0.01,0.01,0,0,0
2019-08,30.92,1.54,59.82,0.42,5.53,1.7,0,0.04,0.01,0.01,0,0,0
2019-09,29.39,1.44,60.65,0.31,5.22,2.93,0,0.04,0.01,0.01,0,0,0
2019-10,27.98,1.36,62.98,0.3,5.07,2.25,0,0.04,0.01,0.01,0,0,0
2019-11,27.49,1.29,64.64,0.31,4.98,1.23,0,0.03,0,0.01,0,0,0
2019-12,26.79,1.29,65.4,0.31,4.87,1.29,0,0.04,0.01,0.01,0,0,0
2020-01,24.9,1.25,67.35,0.3,4.82,1.31,0,0.03,0.01,0.02,0,0,0
2020-02,23.13,1.15,69.23,0.44,4.69,1.3,0,0.04,0.01,0.01,0,0,0
2020-03,21.21,1.39,70.98,0.56,4.63,1.19,0,0.03,0.01,0,0,0,0
2020-04,19.44,0.89,73.14,0.45,4.83,1.22,0,0.03,0.01,0.01,0,0,0
2020-05,19.95,0.87,72.9,0.44,4.7,1.09,0,0.03,0,0.01,0,0,0
2020-06,19.79,0.82,73.34,0.44,4.5,1.06,0,0.03,0,0.01,0,0,0
2020-07,20.04,0.83,73.05,0.42,4.52,1.1,0,0.03,0,0.01,0,0,0
2020-08,19.44,0.82,73.76,0.41,4.47,1.07,0,0.03,0,0.01,0,0,0
2020-09,18.51,0.8,75.05,0.39,4.16,1.07,0,0.03,0,0.01,0,0,0
2020-10,16.8,0.71,77.31,0.35,3.79,1,0,0.02,0,0,0,0,0
2020-11,17.68,0.79,75.96,0.46,3.98,1.09,0,0.03,0,0,0,0,0
2020-12,18.03,0.8,75.68,0.41,3.95,1.1,0,0.03,0.01,0,0,0,0
2021-01,16.81,0.67,77.47,0.25,3.78,0.97,0,0.02,0,0,0,0,0
2021-02,16.55,0.72,77.65,0.29,3.66,1.09,0,0.02,0.01,0,0,0,0
2021-03,16.2,0.67,78.34,0.27,3.53,0.97,0,0.02,0,0,0,0,0
2021-04,16.27,0.72,78.03,0.3,3.48,1.14,0,0.02,0.01,0.01,0,0,0.01
2021-05,15.52,0.6,78.88,0.25,3.44,1.27,0,0.02,0.01,0,0,0,0
2021-06,15.56,0.58,78.89,0.23,3.46,1.25,0,0.02,0,0,0,0,0
2021-07,16.06,0.59,78.38,0.26,3.5,1.17,0,0.03,0,0,0,0,0
2021-08,15.96,0.6,78.35,0.28,3.62,1.16,0,0.01,0,0,0,0,0
2021-09,14.77,0.59,79.84,0.26,3.36,1.16,0,0.02,0.01,0,0,0,0
2021-10,13.56,0.53,81.44,0.21,3.17,1.07,0,0.01,0.01,0,0,0,0
